date,diff
26:39.9,701
26:41.2,607
26:41.9,298
26:42.4,37
26:43.2,216
26:43.3,121
26:43.9,281
26:44.4,228
26:44.4,207
26:45.2,195
26:45.3,471
26:45.5,281
26:46.0,586
26:46.4,209
26:46.4,188
26:46.6,359
26:47.2,546
26:47.3,410
26:47.5,240
26:47.8,412
26:48.0,209
26:48.4,536
26:48.4,529
26:48.7,252
26:48.9,442
26:49.2,158
26:49.3,176
26:49.5,184
26:49.8,416
26:50.0,206
26:50.4,226
26:50.4,219
26:50.8,50
26:50.9,488
26:51.1,284
26:51.3,500
26:51.5,308
26:51.8,84
26:52.0,0
26:52.2,384
26:52.4,218
26:52.8,221
26:52.9,123
26:53.0,59
26:53.2,59
26:53.3,476
26:53.6,258
26:53.8,461
26:54.0,185
26:54.2,250
26:54.2,241
26:54.5,493
26:54.8,182
26:54.9,146
26:55.0,84
26:55.2,77
26:55.3,133
26:55.4,81
26:55.6,82
26:55.8,144
26:56.1,73
26:56.2,118
26:56.2,109
26:56.3,185
26:56.5,47
26:56.7,40
26:56.9,12
26:57.0,196
26:57.2,192
26:57.3,37
26:57.4,186
26:57.4,182
26:57.6,194
26:57.8,-2
26:58.1,137
26:58.2,180
26:58.2,172
26:58.3,41
26:58.5,113
26:58.6,25
26:58.7,109
26:58.9,112
26:59.0,18
26:59.2,13
26:59.3,63
26:59.4,10
26:59.4,7
26:59.6,18
26:59.8,34.5
27:00.0,66
27:00.2,54
27:00.2,44
27:00.3,117
27:00.5,186
27:00.6,99
27:00.7,179
27:00.8,77
27:00.9,182
27:01.0,87
27:01.1,151
27:01.3,133
27:01.4,82
27:01.4,77
27:01.6,87
27:01.8,54
27:01.9,29
27:01.9,12
27:02.0,85
27:02.2,111
27:02.2,75
27:02.3,137
27:02.5,55
27:02.6,115
27:02.7,43
27:02.8,141
27:02.9,195
27:03.1,89
27:03.1,163
27:03.3,199
27:03.4,99
27:03.4,94
27:03.6,144
27:03.8,115
27:03.9,89
27:03.9,32
27:04.0,147
27:04.2,167
27:04.2,155
27:04.3,199
27:04.4,129
27:04.6,180
27:04.7,62
27:04.8,161
27:04.9,58
27:05.1,111
27:05.1,32
27:05.2,141
27:05.3,61
27:05.4,155
27:05.5,22
27:05.8,130
27:05.9,105
27:05.9,45
27:06.0,171
27:06.0,164
27:06.2,180
27:06.2,171
27:06.3,18
27:06.4,138
27:06.6,195
27:06.6,137
27:06.8,176
27:06.9,77
27:07.1,122
27:07.1,44
27:07.2,163
27:07.2,157
27:07.3,78
27:07.5,145
27:07.5,90
27:07.7,96
27:07.9,176
27:07.9,116
27:08.0,41
27:08.0,35
27:08.2,43
27:08.2,36
27:08.3,87
27:08.4,36
27:08.4,4
27:08.6,47
27:08.6,3
27:08.8,37
27:08.8,195
27:09.1,190
27:09.1,110
27:09.2,27
27:09.2,22
27:09.3,143
